02.2005.01.SRMG.00002-001-01-01;FAFICH - UFMG INFORMAÇÃO TÉCNICA 006/05-NID/SR/MG;null
02.2005.01.SRMG.00003-003-01-01;ESCOLA DE MEDICINA - UFMG LAUDO 085/05 - NID/SR/MG;null
02.2005.01.SRMG.00003-003-02-01;ESCOLA DE MEDICINA - UFMG LAUDO 085/05 - NID/SR/MG;null
02.2005.01.SRMG.00003-003-03-01;ESCOLA DE MEDICINA - UFMG LAUDO 085/05 - NID/SR/MG;csuser93;TPvsULF;550131.990331404/2004-75
02.2005.01.SRMG.00003-002-01-01;ESCOLA DE MEDICINA - UFMG LAUDO 085/05 - NID/SR/MG;null
02.2005.01.SRMG.00003-002-02-01;ESCOLA DE MEDICINA - UFMG LAUDO 085/05 - NID/SR/MG;null
02.2005.01.SRMG.00003-002-03-01;ESCOLA DE MEDICINA - UFMG LAUDO 085/05 - NID/SR/MG;null
02.2005.01.SRMG.00003-001-01-01;ESCOLA DE MEDICINA - UFMG LAUDO 085/05 - NID/SR/MG;mguser09;TPvsULF;550131.990035836/2004-58
02.2005.01.SRMG.00003-001-02-01;ESCOLA DE MEDICINA - UFMG LAUDO 085/05 - NID/SR/MG;null
02.2005.01.SRMG.00004-001-01-01;Residência Sr. Limotécio, bairro Sapucaias, Belo Horizonte Informação técnica 07/05-NID/SR/MG;null
02.2005.01.SRMG.00006-001-01-01;Restaurante da UFMG. Laudo 093/05-NID/SR/DPF/MG e Laudo 044/07-NID/SR/DPF/MG;null
02.2005.01.SRMG.00006-001-02-01;Restaurante da UFMG. Laudo 093/05-NID/SR/DPF/MG e Laudo 044/07-NID/SR/DPF/MG;null
02.2005.01.SRMG.00006-001-03-01;Restaurante da UFMG. Laudo 093/05-NID/SR/DPF/MG e Laudo 044/07-NID/SR/DPF/MG;null
02.2005.01.SRMG.00006-001-04-01;Restaurante da UFMG. Laudo 093/05-NID/SR/DPF/MG e Laudo 044/07-NID/SR/DPF/MG;null
